Lieu.de.surveillance...Identifiant;Lieu.de.surveillance...Libellé;Lieu.de.surveillance...Mnémonique;Passage...Date;Passage...Jour;Passage...Mois;Passage...Année;Sonde;Coordonnées.passage...Coordonnées.minx;Coordonnées.passage...Coordonnées.miny;Prélèvement...Niveau;Résultat...Code.paramètre;Saison;JourAnnée;Week;Résultat...Valeur.de.la.mesure
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;149;21;9.73
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;149;21;2.36
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;149;21;32
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;149;21;0.1
3006001;At so;006-P-001;29/05/1992;29;5;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;149;21;15.5
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Summer;156;22;5.53
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Summer;156;22;27.51
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Summer;156;22;0.16
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Summer;156;22;3.44
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Summer;156;22;3.03
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;156;22;30
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Summer;156;22;1.15
3006001;At so;006-P-001;05/06/1992;5;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;156;22;15.5
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Summer;167;24;4.72
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Summer;167;24;4.51
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Summer;167;24;0.08
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Summer;167;24;19.27
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Summer;167;24;0.27
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;167;24;31
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Summer;167;24;0.06
3006001;At so;006-P-001;16/06/1992;16;6;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;167;24;18
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Summer;197;28;0.8
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Summer;197;28;9.1
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Summer;197;28;1.37
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Summer;197;28;5.2
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Summer;197;28;0.82
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;197;28;29
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Summer;197;28;13.97
3006001;At so;006-P-001;16/07/1992;16;7;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;197;28;19
3006001;At so;006-P-001;14/08/1992;14;8;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;226;32;30.5
3006001;At so;006-P-001;14/08/1992;14;8;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;226;32;17.9
3006001;At so;006-P-001;17/08/1992;17;8;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Summer;229;33;7.05
